length,src_port,dst_port,flags,src_ip,dst_ip,protocol,Label
74,50626.0,443.0,1,0,0,0,1
1353,443.0,50626.0,3,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
96,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
96,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
96,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
85,443.0,50626.0,3,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
86,50626.0,443.0,1,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
128,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
128,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
128,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
128,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
160,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
160,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
160,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
160,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
160,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
160,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
74,50626.0,443.0,1,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
1374,443.0,50626.0,1,0,0,0,1
192,443.0,50626.0,3,0,0,0,1
